content_hash_id,impressions,avg_pos,actual_ctr,missed_clicks,action_label,reason_code
content_91afe32fac101350,49367.0,2.9782679567711368,0.00392975064314218,9679.0,DO_NOTHING_ZERO_CLICK_SERP,ZERO_CLICK_ANOMALY
content_5267d90f451c6edc,51920.0,1.6377579399432376,0.013617103235747304,9677.0,DO_NOTHING_ZERO_CLICK_SERP,ZERO_CLICK_ANOMALY
content_dee34a2aa25f2228,48299.0,1.5636114045190643,0.0017598708047785669,9575.0,DO_NOTHING_ZERO_CLICK_SERP,ZERO_CLICK_ANOMALY
content_7172a7fad43f0998,205867.0,3.367835376702069,0.0041871693860599316,9431.0,EVALUATE_SERP_FEATURES,CTR_GAP_MID_VISIBILITY
content_06f0cf40fe8a535f,49037.0,2.81867956260369,0.00832024797601811,9399.0,DO_NOTHING_ZERO_CLICK_SERP,ZERO_CLICK_ANOMALY
content_5b72e8a6a93ca989,48898.0,1.9642739103434774,0.0077917297230970595,9399.0,DO_NOTHING_ZERO_CLICK_SERP,ZERO_CLICK_ANOMALY
content_b99ea6861864dea5,194337.0,4.450106308469443,0.0018575978840879503,9356.0,EVALUATE_SERP_FEATURES,CTR_GAP_MID_VISIBILITY
content_53d6ece81a430d6e,46348.0,1.2020352327779618,0.0016613446103391732,9193.0,DO_NOTHING_ZERO_CLICK_SERP,ZERO_CLICK_ANOMALY
content_506e2733ce390ffe,45666.0,2.9826792427232682,0.0022774055095694827,9029.0,DO_NOTHING_ZERO_CLICK_SERP,ZERO_CLICK_ANOMALY
content_7fccc0103a4b3201,45941.0,2.7336065860333196,0.004331642759191136,8989.0,DO_NOTHING_ZERO_CLICK_SERP,ZERO_CLICK_ANOMALY
content_465d20bc90052258,45369.0,2.9984634436228257,0.0027992682227953006,8947.0,DO_NOTHING_ZERO_CLICK_SERP,ZERO_CLICK_ANOMALY
content_91e1b34e81e54cad,45392.0,2.7487536508094563,0.004516214310891787,8873.0,DO_NOTHING_ZERO_CLICK_SERP,ZERO_CLICK_ANOMALY
